Source,Abbreviation,Content,Rating,,,,
Wateen,Wateen,اتمنى من كل قلبي ان جميع الشعب السعودي الكريم يهتم للتبرع بالدم ويشعر بعظم هذا التبرع فلا يوجد اغلى من دم الانسان ليتبرع به ولدي اقتراح اتمنى ان يكون مفعل في التطبيق ان تكون هناك خانه للاهداء مثلا اضع رقم هاتف احدهم وتاتيه رسالة بأني محبة له تبرعت بدمي نيابة عنه ويناله الاجر ويشاركني فيه لفته جميلة واتوقع تزيد من اعداد المتبرعين فكل انسان لديه حبيب يريد ان يفرحه وشكرا,5,اتمني من كل قلبي ان جميع الشعب السعودي الكريم يهتم للتبرع بالدم ويشعر بعظم هذا التبرع فلا يوجد اغلي من دم الانسان ليتبرع به ولدي اقتراح اتمني ان يكون مفعل في التطبيق ان تكون هناك خانه للاهداء مثلا اضع رقم هاتف احدهم وتاتيه رساله باني محبه له تبرعت بدمي نيابه عنه ويناله الاجر ويشاركني فيه لفته جميله واتوقع تزيد من اعداد المتبرعين فكل انسان لديه حبيب يريد ان يفرحه وشكرا,أتمنى من كل قلب ان جميع شعب سعودي كريم اهتم تبرع دم شعر عظمة هذا تبرع لا وجد اغلي من دم إنسان تبرع ب ولد اقتراح أتمنى ان كان مفعل في تطبيق ان كان هناك خان اهداء مثل أضع رقم هاتف أحد تاتي رسال باني محب ل تبرع دم نياب عن نال اجر شارك في لفت جميل اتوقع زاد من اعداد متبرع كل إنسان لدى حبيب أراد ان فرح شكر,ar,
Wateen,Wateen,"اجمل شعور وانا اتبرع لوجه الله لانقاذ حياه احدهم 
والاجمل لما توصلني رساله دمك في طريقه لإنقاذ احدهم
التبرع صدقه جاريه في الحياه والممات التبرع حياه لي ولغيري",5,اجمل شعور وانا اتبرع لوجه الله لانقاذ حياه احدهم والاجمل لما توصلني رساله دمك في طريقه لانقاذ احدهم التبرع صدقه جاريه في الحياه والممات التبرع حياه لي ولغيري,أجمل شعور أنا اتبرع وجه الله إنقاذ حي أحد اجمل ما توصلني رسال دم في طريق إنقاذ أحد تبرع صدق جاري في حياه ممات تبرع حي ل غير,ar,
Wateen,Wateen,ارجو التذكير في التبرع في الرسايل,5,ارجو التذكير في التبرع في الرسايل,أرجو تذكير في تبرع في رسايل,ar,
Wateen,Wateen,ارجو من التطبيق رفع نتائج فحص الدم من عينات الدم التي أؤخذت اثناء التبرع,5,ارجو من التطبيق رفع نتاءج فحص الدم من عينات الدم التي اءخذت اثناء التبرع,أرجو من تطبيق رفع نتاءج فحص دم من عينة دم الذي اءخذت أثناء تبرع,ar,
Wateen,Wateen,ارغب منكم مشكورين بالسعي في اليه التبرعات انها تدمج جميعها برقم الهوية وليس كل مستشفى على حدا تسجل تبرعاته,5,ارغب منكم مشكورين بالسعي في اليه التبرعات انها تدمج جميعها برقم الهويه وليس كل مستشفي علي حدا تسجل تبرعاته,أرغب من مشكور سعي في إلى تبرع ان أدمج جميع رقم هوي ليس كل مستشفى علي حد سجل تبرع,ar,
Wateen,Wateen,اشكر القائمين على هذا الجهد الجبار,5,اشكر القاءمين علي هذا الجهد الجبار,أشكر قاءم علي هذا جهد جبار,ar,
Wateen,Wateen,"اشكر جميع العاملين على هذا التطبيق والداعمين له حيث كان بفضل الله ثم فضل هذا التطبيق دور كبير في تشجيعي على التبرع بالدم وتوثيق تبرعاتي وتذكيرك عندما تكون جاهز للتبرع القادم بوجود عداد تنازلي لاخر تبرع 
واتمنى لو يضاف اشعار المتبرع عندما يكون جاهز للتبرع",5,اشكر جميع العاملين علي هذا التطبيق والداعمين له حيث كان بفضل الله ثم فضل هذا التطبيق دور كبير في تشجيعي علي التبرع بالدم وتوثيق تبرعاتي وتذكيرك عندما تكون جاهز للتبرع القادم بوجود عداد تنازلي لاخر تبرع واتمني لو يضاف اشعار المتبرع عندما يكون جاهز للتبرع,أشكر جميع عامل علي هذا تطبيق داعم ل حيث كان فضل الله ثم فضل هذا تطبيق دور كبير في تشجيع علي تبرع دم توثيق تبرع تذكير عند كان جاهز تبرع قادم وجود عداد تنازلي اخر تبرع اتمني لو أضاف اشعار متبرع عند كان جاهز تبرع,ar,
Wateen,Wateen,"اشكركم لمساعده البشر الذين يحتاجون المتبرعين من الدم
واتمنى لكم التوفيق و التطور المستمر",5,اشكركم لمساعده البشر الذين يحتاجون المتبرعين من الدم واتمني لكم التوفيق و التطور المستمر,شكر مساعد بشر الذي احتاج متبرع من دم اتمني ل توفيق و تطور مستمر,ar,
Wateen,Wateen,اشكروا رائد لانه هو الذي دل الكثيرين على هذا الموقع ,5,اشكروا راءد لانه هو الذي دل الكثيرين علي هذا الموقع,اشكر راءد لان هو الذي دل كثير علي هذا موقع,ar,
Wateen,Wateen,افضل تطبيق,5,افضل تطبيق,أفضل تطبيق,ar,
Wateen,Wateen,اقترح وضع خانه للتبرع بالصفائح الدمويه لانه تحتاج اسبوعين فقط وليس شهرين ,5,اقترح وضع خانه للتبرع بالصفاءح الدمويه لانه تحتاج اسبوعين فقط وليس شهرين,اقترح وضع خان تبرع صفاءح دمويه لان احتاج أسبوع فقط ليس شهر,ar,
Wateen,Wateen,البرنامج جداا سهل وبسيط وغير معقد,5,البرنامج جداا سهل وبسيط وغير معقد,برنامج جد سهل بسيط غير معقد,ar,
Wateen,Wateen,التطبيق أصبح يعمل,5,التطبيق اصبح يعمل,تطبيق أصبح عمل,ar,
Wateen,Wateen,التطبيق شغال معاي الى خطوة موقع المدينة بعدها يقفل جربت مرتين ونفس الإشكالية,5,التطبيق شغال معاي الي خطوه موقع المدينه بعدها يقفل جربت مرتين ونفس الاشكاليه,تطبيق شغال معا الي خطو موقع مدينه بعد أقفل جرب مرة نفس اشكاليه,ar,
Wateen,Wateen,التطبيق لم يرسل رمز التحقّق إلى الجوّال لإكمال تنزيل التطبيق ومن ثمّ فتحه!,5,التطبيق لم يرسل رمز التحقق الي الجوال لاكمال تنزيل التطبيق ومن ثم فتحه,تطبيق لم أرسل رمز تحقق الي جوال إكمال تنزيل تطبيق من ثم فتح,ar,
Wateen,Wateen,"التطبيق ممتاز جدا 
هل من الممكن اضافة الاسائلة التي يجيب عليها المتبرع ليقوم بالتعبئة وتسحب من المستشفى ويقوم بالتوقيع
هناك بعض الاسائله اتمنا اعادت النظر في وجودها في القائمة وشكرا لكل الجهود المبذولة وجعلها الله في ميزان حسناتكم",5,التطبيق ممتاز جدا هل من الممكن اضافه الاساءله التي يجيب عليها المتبرع ليقوم بالتعبءه وتسحب من المستشفي ويقوم بالتوقيع هناك بعض الاساءله اتمنا اعادت النظر في وجودها في القاءمه وشكرا لكل الجهود المبذوله وجعلها الله في ميزان حسناتكم,تطبيق ممتاز جد هل من ممكن اضاف اساءله الذي أجاب على متبرع قام تعبءه سحب من مستشفي قام توقيع هناك بعض اساءله اتم أعاد نظر في وجود في قاءمه شكر كل جهد مبذوله جعل الله في ميزان حسنة,ar,
Wateen,Wateen,التطبيق ممتاز جدا واصبح همزة وصل بين المتبرع وبنوك الدم وكذلك يخدم المتبرع في معرفة متى يمكنه التبرع وذلك يعتبر محفز للمتبرع لمعرفة متى بمقدوره ان يتبرع مره اخرىكما انه يسهل عملية الحجوزات ويجعلك تتفادى الانتظار طويلًا قبل سحب الدم ,5,التطبيق ممتاز جدا واصبح همزه وصل بين المتبرع وبنوك الدم وكذلك يخدم المتبرع في معرفه متي يمكنه التبرع وذلك يعتبر محفز للمتبرع لمعرفه متي بمقدوره ان يتبرع مره اخري كما انه يسهل عمليه الحجوزات ويجعلك تتفادي الانتظار طويلا قبل سحب الدم,تطبيق ممتاز جد أصبح همز وصل بين متبرع بنك دم ذلك خدم متبرع في معرف متى أمكن تبرع ذلك اعتبر محفز متبرع معرف متى مقدور ان تبرع مر أخرى كما ان سهل عمل حجوز جعل تتفادي انتظار طويل قبل سحب دم,ar,
Wateen,Wateen,التطبيق مو راضي يعمل على نظام ابل ,5,التطبيق مو راضي يعمل علي نظام ابل,تطبيق مو راضي عمل علي نظام إبل,ar,
Wateen,Wateen,التطبيق يحتاج الى قووة أعلانات على الأفراد تحميل التطبيق فيها ظلم 😑,5,التطبيق يحتاج الي قووه اعلانات علي الافراد تحميل التطبيق فيها ظلم,تطبيق احتاج الي قوو إعلان علي فرد تحميل تطبيق في ظلم,ar,
Wateen,Wateen,الرجاء اصلاح التطبيق بمجرد الوصول لخانة المدينة يقفل التطبيق,5,الرجاء اصلاح التطبيق بمجرد الوصول لخانه المدينه يقفل التطبيق,رجاء إصلاح تطبيق مجرد وصول خان مدينه أقفل تطبيق,ar,
Wateen,Wateen,"السلام عليكم 

البرنامج مايشتغل عندي 
تطلع ملاحظه 'حدث خطأ ما الرجاءالمحاوله لاحقاً '",5,السلام عليكم البرنامج مايشتغل عندي تطلع ملاحظه حدث خطا ما الرجاءالمحاوله لاحقا,سلام على برنامج مايشتغل عند طلع ملاحظ حدث خط ما رجاءالمحاوله لاحق,ar,
Wateen,Wateen,السلام عليكم البرنامج رائع و جهد ممتاز و إن شاء الله في تطور مستمرالنفاط التالية تحتاج لتطوير لتحسين تجربة المستخدم: -لا يوجد قناة تواصل للدعم الفني -التاريخ و اليوم في بطاقة الموعد غير صحيح(حلت مشكلة التاريخ بعد التحديث 👍🏻),5,السلام عليكم البرنامج راءع و جهد ممتاز و ان شاء الله في تطور مستمر النفاط التاليه تحتاج لتطوير لتحسين تجربه المستخدم لا يوجد قناه تواصل للدعم الفني التاريخ و اليوم في بطاقه الموعد غير صحيح حلت مشكله التاريخ بعد التحديث,سلام على برنامج راءع و جهد ممتاز و ان شاء الله في تطور مستمر نفاط تاليه احتاج تطوير تحسين جرب مستخدم لا وجد قنا واصل دعم فني تاريخ و يوم في طاق موعد غير صحيح حل مشكل تاريخ بعد تحديث,ar,
Wateen,Wateen,السلام عليكم صباح الخير أرغب في التبرع بالدم وقد نفذت المحاولات,5,السلام عليكم صباح الخير ارغب في التبرع بالدم وقد نفذت المحاولات,سلام على صباح خير أرغب في تبرع دم قد نفذ محاولة,ar,
Wateen,Wateen,السلام عليكم ورحمة الله وبركاته برنامج وتين برنامج مميز جداً ومحفز للتبرع وسهل الاستخدام شكراً لكم و نتمنى الاستمرار على ذلك 🌹 ,5,السلام عليكم ورحمه الله وبركاته برنامج وتين برنامج مميز جدا ومحفز للتبرع وسهل الاستخدام شكرا لكم و نتمني الاستمرار علي ذلك,سلام على رحم الله بركة برنامج تين برنامج مميز جد محفز تبرع سهل استخدام شكر ل و نتمني استمرار علي ذلك,ar,
Wateen,Wateen,العبد لله مقيم وفى ظل الظروف الى بنمر بيها كلنا حبيت ارد جزء بيسط من الدين الى فى رقبتنا كلنا للمملكه حفظها الله وحفظ مصر وحفظ خادم الحرمين وولى عهده الامين انزل ان كنت مقيم او سعودى تبرع بالدم وان شاء الله فى امان الله ورعايته,5,العبد لله مقيم وفي ظل الظروف الي بنمر بيها كلنا حبيت ارد جزء بيسط من الدين الي في رقبتنا كلنا للمملكه حفظها الله وحفظ مصر وحفظ خادم الحرمين وولي عهده الامين انزل ان كنت مقيم او سعودي تبرع بالدم وان شاء الله في امان الله ورعايته,عبد الله مقيم في ظل ظرف الي مر بك كل حب ارد جزء يسط من دين الي في رقبة كل مملكه حفظ الله حفظ مصر حفظ خادم حرم ولي عهد أمين أنزل ان كان مقيم أو سعودي تبرع دم وان شاء الله في امان الله رعاية,ar,
Wateen,Wateen,الفكرة ممتازة جزيتم خيرا,5,الفكره ممتازه جزيتم خيرا,فكر ممتاز جزيتم خير,ar,
Wateen,Wateen,الله يجزاكم الف خير فكرة البرنامج ممتازة جدا وناجحة للغاية بارك الله فيكم,5,الله يجزاكم الف خير فكره البرنامج ممتازه جدا وناجحه للغايه بارك الله فيكم,الله يجزاكم ألف خير فكر برنامج ممتاز جد ناجح لغا باراك الله في,ar,
Wateen,Wateen,الله يسعد من ضبط التطبيق,5,الله يسعد من ضبط التطبيق,الله أسعد من ضبط تطبيق,ar,
Wateen,Wateen,الله يعطيكم العافيه ويبارك لكم بالعمل الانساني الرائع والمزيد بإذن الله من التطوير وعمل الخير,5,الله يعطيكم العافيه ويبارك لكم بالعمل الانساني الراءع والمزيد باذن الله من التطوير وعمل الخير,الله يعطيكم عافيه بارك ل عمل إنساني راءع مزيد إذن الله من تطوير عمل خير,ar,
Wateen,Wateen,"الله يكتب لكم الاجر على هذا التطبيق 
ولكن عند الحجز لموعد التبرع من اول رمضان الى اليوم لا يتم الحجز وتظهر رسالة (بنك الدم مغلق في هذا الوقت) اتمنى مراجعة التطبيق وتعديل وقت الدوام الفعلي لبنوك الدم خلال شهر رمضان المبارك",5,الله يكتب لكم الاجر علي هذا التطبيق ولكن عند الحجز لموعد التبرع من اول رمضان الي اليوم لا يتم الحجز وتظهر رساله بنك الدم مغلق في هذا الوقت اتمني مراجعه التطبيق وتعديل وقت الدوام الفعلي لبنوك الدم خلال شهر رمضان المبارك,الله كتب ل اجر علي هذا تطبيق لكن عند حجز موعد تبرع من أول رمضان الي يوم لا تم حجز ظهر رسال بنك دم مغلق في هذا وقت أتمنى مرجع تطبيق تعديل وقت دوام فعلي بنك دم خلال شهر رمضان مبارك,ar,
Wateen,Wateen,الله يوفقكم جميلة الفكرة وسهل الاستخدام,5,الله يوفقكم جميله الفكره وسهل الاستخدام,الله وفق جميل فكر سهل استخدام,ar,
Wateen,Wateen,اللي جربه يا ليت يقول كيف كانت تجربته,5,اللي جربه يا ليت يقول كيف كانت تجربته,لي جرب يا ليت قال كيف كان تجربة,ar,
Wateen,Wateen,الوقت لا يعمل,5,الوقت لا يعمل,وقت لا عمل,ar,
Wateen,Wateen,ام يصل لي درع بعد اتمام 5 تبرعات من قبلكم,5,ام يصل لي درع بعد اتمام تبرعات من قبلكم,ام وصل ل درع بعد إتمام تبرع من قبل,ar,
Wateen,Wateen,انتبهوا بارك الله فيكم لبعض الرموز ان تكون برمز الهلال الاحمر و ليس الصليب الاحمر,5,انتبهوا بارك الله فيكم لبعض الرموز ان تكون برمز الهلال الاحمر و ليس الصليب الاحمر,انتبه باراك الله في بعض رمز ان كان رمز هلال احمر و ليس صليب احمر,ar,
Wateen,Wateen,اواجه مشكلة اذا بأخذ موعد لازم اكون قريب من المستشفى او بلمنطقة واذا انا خارج النطاق مايطلعلي اي مستشفى عشان اقدر اخذ موعد والمشكله الثانيه اذا رحت عند خانة اختيار المستشفى والذهاب الى المستشفى المختار ماقدر احجز فيه وعلمن اضغط عليه اكثر من مره ولا يضبط الله يعطيكم العافيه ضبطو المشكلة وشكرا,5,اواجه مشكله اذا باخذ موعد لازم اكون قريب من المستشفي او بلمنطقه واذا انا خارج النطاق مايطلعلي اي مستشفي عشان اقدر اخذ موعد والمشكله الثانيه اذا رحت عند خانه اختيار المستشفي والذهاب الي المستشفي المختار ماقدر احجز فيه وعلمن اضغط عليه اكثر من مره ولا يضبط الله يعطيكم العافيه ضبطو المشكله وشكرا,اواجه مشكل اذ اخذ موعد لازم أكون قريب من مستشفي أو منطق اذ أنا خارج نطاق مايطلعلي اي مستشفى عشان أقدر أخذ موعد مشكله ثاني اذ راح عند خان اختيار مستشفي ذهاب الي مستشفي مختار ماقدر احجز في علم اضغط على أكثر من مر لا ضبط الله يعطيكم عافيه ضبطو مشكله شكر,ar,
Wateen,Wateen,اود شكر القائمين على هذا التطبيق الاكثر من رائع حيث انه يساعد على الخير والتبرع ويسهل عمليه التبرع في اقرب مكان لموقعنا,5,اود شكر القاءمين علي هذا التطبيق الاكثر من راءع حيث انه يساعد علي الخير والتبرع ويسهل عمليه التبرع في اقرب مكان لموقعنا,أود شكر قاءم علي هذا تطبيق أكثر من راءع حيث ان ساعد علي خير تبرع سهل عمل تبرع في أقرب مكان موقع,ar,
Wateen,Wateen,"أمس كان اليوم العالمي للتبرع بالدم🩸 ١٤ يونيو🩸
وعرفت عن البرنامج من دعاية بتويتر
فحملته وحجزت موعد
ورحت اليوم تبرعت أول تبرع لي بحياتي
شكرًا لكم سهلتوا علي التبرع
والبرنامج يخلق جو حماس وتشجيع👍🏼",5,امس كان اليوم العالمي للتبرع بالدم يونيو وعرفت عن البرنامج من دعايه بتويتر فحملته وحجزت موعد ورحت اليوم تبرعت اول تبرع لي بحياتي شكرا لكم سهلتوا علي التبرع والبرنامج يخلق جو حماس وتشجيع,أمس كان يوم عالمي تبرع دم يونيو عرف عن برنامج من دعاي تويتر حمل حجز موعد راح يوم تبرع أول تبرع ل حياة شكر ل سهل علي تبرع برنامج خلق جو حماس تشجيع,ar,
Wateen,Wateen,إبداع ,5,ابداع,ابداع,ar,
Wateen,Wateen,بارك الله في جهودكم ,5,بارك الله في جهودكم,باراك الله في جهد,ar,
Wateen,Wateen,"باقتكم معطره بكمالها والكمال لله سبحانه , فخور بكم احب أنوه على ما هو اساسي بجتمعنا الاسلامي ( فذكر ان الذكرى تنفع المؤمنين) واتمنئ يتم إرسال رسالة نصية على الهواتف الذكية وتجنب ارفاق روابط لبرامج او تعبية استبيان لعدم استغلال من الجهة الفاسدة بالاحتيال بالمختصر ذكر اسماء بنوك الدم والتوجه لها واكمال اجراءاتها بالكامل هناك وليست الكل التعميم بما هو عام للمجتمع والتخصيص بما هو على انظمة خاصة بقطاعه المعني بالتذكير في تبرعات الدم واضافة شرح مبسط لاحترازات ما قبل التبرع وما يليه والحرص على كافة المجتمعات المواطنين والمقيمين وكتب الله لنا ولكم الاجر ورحم الله والدينا والمسلمين اجمعين ""كل ما املك ابي وامي واضل مجتهدًا بعون من الله ان اقدم لهم شيئًا من الدنيا ما هو يزيدني في البر واستغل كسب الآجر عنهم وعني وجميع المسلمين عامة لرصيد الاخرهاللهم جنات الفردوس الاعلى وما خاب من طلب منك فأنت الكريم الحليم الغفور تقبلو مروري (عبدالله زايد العنزي) > رتب طموحك وليس حلمك بما يرضي الله ومتى ما سنحت الفرصة لنفسك انطلق ببناء طموحاتك لعرش الملكية الفكرية في الدنيا وبيت في الفردوس الاعلى *اتمنى حفظ أسمي لرؤيته في يوم من الايام مسطرًا امجاد طموحات الحياة من ما كتب الله لي تحقيقهأطيب الأماني 🌹",5,باقتكم معطره بكمالها والكمال لله سبحانه فخور بكم احب انوه علي ما هو اساسي بجتمعنا الاسلامي فذكر ان الذكري تنفع المءمنين واتمنء يتم ارسال رساله نصيه علي الهواتف الذكيه وتجنب ارفاق روابط لبرامج او تعبيه استبيان لعدم استغلال من الجهه الفاسده بالاحتيال بالمختصر ذكر اسماء بنوك الدم والتوجه لها واكمال اجراءاتها بالكامل هناك وليست الكل التعميم بما هو عام للمجتمع والتخصيص بما هو علي انظمه خاصه بقطاعه المعني بالتذكير في تبرعات الدم واضافه شرح مبسط لاحترازات ما قبل التبرع وما يليه والحرص علي كافه المجتمعات المواطنين والمقيمين وكتب الله لنا ولكم الاجر ورحم الله والدينا والمسلمين اجمعين كل ما املك ابي وامي واضل مجتهدا بعون من الله ان اقدم لهم شيءا من الدنيا ما هو يزيدني في البر واستغل كسب الاجر عنهم وعني وجميع المسلمين عامه لرصيد الاخره اللهم جنات الفردوس الاعلي وما خاب من طلب منك فانت الكريم الحليم الغفور تقبلو مروري عبدالله زايد العنزي رتب طموحك وليس حلمك بما يرضي الله ومتي ما سنحت الفرصه لنفسك انطلق ببناء طموحاتك لعرش الملكيه الفكريه في الدنيا وبيت في الفردوس الاعلي اتمني حفظ اسمي لرءيته في يوم من الايام مسطرا امجاد طموحات الحياه من ما كتب الله لي تحقيقه اطيب الاماني,باقة معطر كمال كمال الله سبحان فخور ب أحب انوه علي ما هو أساسي جتمع إسلامي ذكر ان ذكري نفع مءمن اتمنء تم إرسال رسال نص علي هاتف ذكيه تجنب ارفاق رابطة برنامج أو تعب استبيان عدم استغلال من جهه فاسده احتيال مختصر ذكر أسماء بنك دم توجه ل اكمال إجراء كامل هناك ليس كل تعميم ما هو عام مجتمع تخصيص ما هو علي انظم خاص قطاع معني تذكير في تبرع دم اضاف شرح مبسط احتراز ما قبل تبرع ما ولي حرص علي كاف مجتمع مواطن مقيم كتب الله ل ل اجر رحم الله والد مسلم اجمع كل ما أملك ابي امي اضل مجتهد عون من الله ان أقدم ل شيء من دنيا ما هو زاد في بر استغل كسب اجر عن عن جميع مسلم عام رصيد اخره اللهم جنة فردوس اعلي ما خاب من طلب من فان كريم حليم غفور تقبلو مروري عبدالله زايد عنزي رتب طموح ليس حلم ما أرضى الله متى ما سنح فرصة نفس انطلق بناء طموح عرش ملكيه فكريه في دنيا بيت في فردوس اعلي أتمنى حفظ اسم رءي في يوم من يوم مسطر أمجاد طموح حياه من ما كتب الله ل تحقيق أطيب اماني,ar,
Wateen,Wateen,بالتوفيق أنتم أوفياء للمجتمع والإنسانية,5,بالتوفيق انتم اوفياء للمجتمع والانسانيه,توفيق أنتم أوفياء مجتمع انسانيه,ar,
Wateen,Wateen,برنامج أكثر من رائع,5,برنامج اكثر من راءع,برنامج أكثر من راءع,ar,
Wateen,Wateen,برنامج جدا ممتاز سهل الاستخدام ويساعدك على التبرع بالدم بحجز موعدك واختيار المركز القريب منك ويوثق تبرعك,5,برنامج جدا ممتاز سهل الاستخدام ويساعدك علي التبرع بالدم بحجز موعدك واختيار المركز القريب منك ويوثق تبرعك,برنامج جد ممتاز سهل استخدام ساعد علي تبرع دم حجز موعد اختيار مركز قريب من وثق تبرع,ar,
Wateen,Wateen,برنامج جميل,5,برنامج جميل,برنامج جميل,ar,
Wateen,Wateen,برنامج جميل جدآ حتى اذا كان فيه احتياج فصيلة محدده تجي رساله لأصحاب الفصايل المطلوبه,5,برنامج جميل جدا حتي اذا كان فيه احتياج فصيله محدده تجي رساله لاصحاب الفصايل المطلوبه,برنامج جميل جد حتي اذ كان في احتياج فصيل محدد تجي رسال صاحب فصايل مطلوب,ar,
Wateen,Wateen,برنامج رائع ومفيد,5,برنامج راءع ومفيد,برنامج راءع مفيد,ar,
Wateen,Wateen,برنامج ممتاز جدا اول مره استخدمة بارك الله فيكم برنامج مميز لكن هل يوجد تنبيه في انتهاء المدة ودخول بالمدة الثانية للتبرع اذا ماهي موجوده يالبيت تحطون تنبيه رسالة او شي علشان تتنبه ونبادر في التبرع دمتم بخير ,5,برنامج ممتاز جدا اول مره استخدمه بارك الله فيكم برنامج مميز لكن هل يوجد تنبيه في انتهاء المده ودخول بالمده الثانيه للتبرع اذا ماهي موجوده يالبيت تحطون تنبيه رساله او شي علشان تتنبه ونبادر في التبرع دمتم بخير,برنامج ممتاز جد أول مر استخدم باراك الله في برنامج مميز لكن هل وجد تنبيه في انتهاء مد دخول مد ثاني تبرع اذ ماهي موجود يالبيت حط تنبيه رسال أو شي علشان تنبه بادر في تبرع دام خير,ar,
Wateen,Wateen,برنامج ممتازشكرا وزارة الصحه,5,برنامج ممتازشكرا وزاره الصحه,برنامج ممتاز شكر زار صحه,ar,
Wateen,Wateen,تبرعت بالدم مرتين ولم يظهر لي اني تبرعت في السجلات او على التطبيق,5,تبرعت بالدم مرتين ولم يظهر لي اني تبرعت في السجلات او علي التطبيق,تبرع دم مرة لم ظهر ل ان تبرع في سجل أو علي تطبيق ,ar,
Wateen,Wateen,تحميل التطبيق و استخدامه جميل جداًو انساني,5,تحميل التطبيق و استخدامه جميل جدا و انساني,تحميل تطبيق و استخدام جميل جد و إنساني,ar,
Wateen,Wateen,تطبيق اكثر من رائع وجميل وسريع بمجرد تبرعك في منطقه او مستشفى تظهر لك جميع المعلومات التي تخصك في لحظة ثانيه أوسمة التبرع والتواريخ والتبرع القادم 👌🏻✨👍🏻✅,5,تطبيق اكثر من راءع وجميل وسريع بمجرد تبرعك في منطقه او مستشفي تظهر لك جميع المعلومات التي تخصك في لحظه ثانيه اوسمه التبرع والتواريخ والتبرع القادم,تطبيق أكثر من راءع جميل سريع مجرد تبرع في منطق أو مستشفى ظهر ل جميع معلومة الذي تخصك في حظ ثاني اوسم تبرع تاريخ تبرع قادم,ar,
Wateen,Wateen,تطبيق جداً جميل أقدر احدد الوقت و التاريخ المناسبه ليّ تبرعت مستشفى الحرس الوطني الرياض و كان كل الاجراءات رائعه و سلسه,5,تطبيق جدا جميل اقدر احدد الوقت و التاريخ المناسبه لي تبرعت مستشفي الحرس الوطني الرياض و كان كل الاجراءات راءعه و سلسه,تطبيق جد جميل أقدر احدد وقت و تاريخ مناسبه ل تبرع مستشفى حرس وطني رياض و كان كل إجراء راءع و سلس,ar,
Wateen,Wateen,"تطبيق جداً رهيب!! 
سهل طريقة التبرع وحل كثير تساؤلاتجداً جميل وحتى يحفز على التبرعاشكركم",5,تطبيق جدا رهيب سهل طريقه التبرع وحل كثير تساءلاتجدا جميل وحتي يحفز علي التبرعاشكركم,تطبيق جد رهيب سهل طريق تبرع حل كثير تساءل جد جميل حتي يحفز علي تبرعاشكركم,ar,
Wateen,Wateen,تطبيق جدا ممتاز لكن يوجد مشكله في تصريح العوده للمنزل,5,تطبيق جدا ممتاز لكن يوجد مشكله في تصريح العوده للمنزل,تطبيق جد ممتاز لكن وجد مشكل في تصريح عود منزل,ar,
Wateen,Wateen,تطبيق جدا ممتاز 👍,5,تطبيق جدا ممتاز,تطبيق جد ممتاز,ar,
Wateen,Wateen,تطبيق جميل الله يبارك للي فكر فيه ,5,تطبيق جميل الله يبارك للي فكر فيه,تطبيق جميل الله بارى ل فكر في,ar,
